experiment,algorithm,seed,independentVariable,submittedTasks,completedTasks,deadlineMetTasks,totalCost,dsr,act,cue,avgActiveVms,creditStarvationEvents,fallbackActiveVmSlots,runtimeMs
burst_sensitivity,BADP_PLUS,10021,1.1,3500,3499,3499,10.983413333332386,99.97142857142858,4.067162046298942,70.88224157516092,4.772222222222222,0.0,6859.0,0.06695539947322213
burst_sensitivity,BADP_PLUS,10022,1.1,3500,3500,3500,11.34410666666568,100.0,3.337142857142857,72.36180904522612,4.929166666666666,0.0,7084.0,0.06862842012356575
burst_sensitivity,BADP_PLUS,10023,1.1,3500,3498,3498,11.495359999998996,99.94285714285714,3.2229845626072042,53.13653136531365,4.991666666666666,0.0,7182.0,0.055186848436246994
burst_sensitivity,BADP_PLUS,10024,1.1,3500,3500,3500,11.111839999999038,100.0,3.4797142857142855,62.88209606986899,4.826388888888889,0.0,6941.0,0.06249604612850082
burst_sensitivity,BADP_PLUS,10025,1.1,3500,3498,3498,11.111146666665705,99.94285714285714,3.1692395654659804,60.12526096033403,4.825694444444444,0.0,6941.0,0.057277198975234846
burst_sensitivity,BADP_PLUS,10026,1.1,3500,3499,3499,11.078719999999041,99.97142857142858,3.9268362389254072,69.23076923076923,4.813194444444444,0.0,6919.0,0.06024038461538462
burst_sensitivity,BADP_PLUS,10027,1.1,3500,3500,3500,11.359146666665678,100.0,3.636285714285714,60.12526096033403,4.933333333333334,0.0,7096.0,0.08153085566119274
burst_sensitivity,BADP_PLUS,10028,1.1,3500,3495,3495,11.052639999999045,99.85714285714286,3.242632331902718,62.88209606986899,4.800694444444445,0.0,6904.0,0.09341032258064516
burst_sensitivity,BADP_PLUS,10029,1.1,3500,3496,3496,11.098826666665703,99.88571428571429,3.884725400457666,67.37558485750745,4.821527777777778,0.0,6932.0,0.05586165803108808
burst_sensitivity,CEMA,10000,1.1,3500,3321,1963,13.00552666666294,56.08571428571429,54.61427280939476,99.90579213116379,22.95,30556.0,2463.0,0.014484581497797359
burst_sensitivity,CEMA,10001,1.1,3500,3370,1733,13.960846666660471,49.51428571428571,60.72373887240356,99.92725925214276,25.09861111111111,34473.0,1659.0,0.015464995822890562
burst_sensitivity,CEMA,10002,1.1,3500,3399,1901,13.803966666660887,54.31428571428572,59.25389820535452,99.93215483773699,24.363888888888887,32928.0,2144.0,0.012170665571076418
burst_sensitivity,CEMA,10003,1.1,3500,3412,1896,13.73841333332803,54.17142857142857,55.9563305978898,99.91581123993797,23.868055555555557,32205.0,2141.0,0.013887828371278459
burst_sensitivity,CEMA,10004,1.1,3500,3342,1898,13.294259999995242,54.22857142857143,57.41921005385996,99.928265703833,23.75,31970.0,2215.0,0.01319898904802022
burst_sensitivity,CEMA,10005,1.1,3500,3400,1824,13.732826666661792,52.114285714285714,58.17294117647059,99.92828918483829,24.45347222222222,33256.0,1945.0,0.010182094594594595
burst_sensitivity,CEMA,10006,1.1,3500,3404,2107,13.511999999995677,60.2,54.524089306698,99.92408906882591,23.146527777777777,30600.0,2725.0,0.01412697998259356
burst_sensitivity,CEMA,10007,1.1,3500,3377,1886,13.372686666661425,53.885714285714286,58.277169084986674,99.924547477345,23.925694444444446,32352.0,2087.0,0.014736264656616415
burst_sensitivity,CEMA,10008,1.1,3500,3402,1531,14.123726666660085,43.74285714285714,59.3694885361552,99.92371710300067,25.5625,35663.0,1116.0,0.012389538714991764
burst_sensitivity,CEMA,10009,1.1,3500,3408,1573,13.78830666666041,44.94285714285714,58.676643192488264,99.92109525325655,24.590972222222224,33697.0,1681.0,0.015509527824620574
burst_sensitivity,CEMA,10010,1.1,3500,3401,1814,13.803746666660993,51.82857142857143,59.824169361952364,99.93263170501669,24.439583333333335,33094.0,2093.0,0.012802859477124184
burst_sensitivity,CEMA,10011,1.1,3500,3322,2041,13.180359999996211,58.31428571428572,53.56983744732089,99.90708592107194,23.09861111111111,30766.0,2481.0,0.015122323879231474
burst_sensitivity,CEMA,10012,1.1,3500,3400,1952,13.634393333327942,55.77142857142857,58.55529411764706,99.92591192591192,24.199305555555554,32707.0,2121.0,0.014254333333333334
burst_sensitivity,CEMA,10013,1.1,3500,3392,1825,13.566859999994135,52.142857142857146,55.31780660377358,99.90294334845449,24.072916666666668,32769.0,1854.0,0.025066446748350613
burst_sensitivity,CEMA,10014,1.1,3500,3409,1659,13.79362666666083,47.4,59.06541507773541,99.92412342589388,24.92222222222222,34502.0,1372.0,0.012612270450751252
burst_sensitivity,CEMA,10015,1.1,3500,3404,2121,13.617826666661424,60.6,56.782314923619275,99.92607074208546,23.772222222222222,31592.0,2619.0,0.01447585004359198
burst_sensitivity,CEMA,10016,1.1,3500,3403,1872,13.54443999999486,53.48571428571429,57.84161034381428,99.92465827144548,23.860416666666666,32160.0,2184.0,0.011551898734177215
burst_sensitivity,CEMA,10017,1.1,3500,3402,1867,13.736099999994243,53.34285714285714,59.678718400940625,99.9234430409002,24.6,33492.0,1912.0,0.01031918158567775
burst_sensitivity,CEMA,10018,1.1,3500,3342,2064,12.899299999995778,58.97142857142857,54.83812088569719,99.92429022082018,22.877777777777776,30605.0,2325.0,0.015000945829750647
burst_sensitivity,CEMA,10019,1.1,3500,3396,1991,13.542453333327964,56.885714285714286,56.96378091872791,99.91772741384663,23.655555555555555,31721.0,2312.0,0.01448791405550582
burst_sensitivity,CEMA,10020,1.1,3500,3384,1963,13.578999999995492,56.08571428571429,55.5951536643026,99.91835728699725,23.779166666666665,31949.0,2281.0,0.010508740359897172
burst_sensitivity,CEMA,10021,1.1,3500,3406,1890,13.500099999995507,54.0,56.06371109806224,99.90426746198314,23.80625,32161.0,2096.0,0.01077690956979807
burst_sensitivity,CEMA,10022,1.1,3500,3407,1763,13.90691999999399,50.371428571428574,59.607572644555326,99.92147786915733,24.864583333333332,34047.0,1717.0,0.01604518976169462
burst_sensitivity,CEMA,10023,1.1,3500,3378,2034,13.471253333328399,58.114285714285714,56.47424511545293,99.92700493122243,23.25,31035.0,2443.0,0.010442662389735366
burst_sensitivity,CEMA,10024,1.1,3500,3400,1911,13.59891333332856,54.6,59.12911764705883,99.93002044957973,23.902083333333334,32179.0,2235.0,0.010461532125205932
burst_sensitivity,CEMA,10025,1.1,3500,3405,2040,13.27811999999507,58.285714285714285,55.41762114537445,99.92492868224814,23.133333333333333,30790.0,2507.0,0.011932450896669512
burst_sensitivity,CEMA,10026,1.1,3500,3395,2083,13.463499999995356,59.51428571428571,57.37879234167894,99.92120729716909,23.49375,31375.0,2442.0,0.009731818181818182
burst_sensitivity,CEMA,10027,1.1,3500,3393,1860,14.056386666661107,53.142857142857146,60.0026525198939,99.92405244680089,24.895833333333332,33774.0,2052.0,0.01136914433880726
