experiment,algorithm,seed,independentVariable,submittedTasks,completedTasks,deadlineMetTasks,totalCost,dsr,act,cue,avgActiveVms,creditStarvationEvents,fallbackActiveVmSlots,runtimeMs
cost_comparison,CEMA,10002,100.0,100,48,18,0.19230666666666607,18.0,54.9375,99.69261149819293,5.379166666666666,1286.0,2.0,0.011845714285714286
cost_comparison,EDF,10000,100.0,100,89,85,0.26935999999999927,85.0,5.314606741573034,84.87611837577425,1.9375,350.0,65.0,0.25482253521126763
cost_comparison,EDF,10001,100.0,100,87,85,0.2969799999999992,85.0,4.896551724137931,84.41581466816382,1.6875,267.0,99.0,0.01609193548387097
cost_comparison,EDF,10002,100.0,100,94,92,0.3279666666666654,92.0,5.297872340425532,84.9723609976635,2.0166666666666666,340.0,98.0,0.012447142857142856
cost_comparison,HPA,10000,100.0,100,43,10,0.1960400000000001,10.0,63.74418604651163,99.6725211858743,5.883333333333334,1405.0,0.0,0.193243661971831
cost_comparison,HPA,10001,100.0,100,44,17,0.20478666666666667,17.0,58.43181818181818,99.69668002500092,5.891666666666667,1404.0,2.0,0.018669354838709677
cost_comparison,HPA,10002,100.0,100,50,15,0.2207333333333333,15.0,57.2,75.76890143713406,6.083333333333333,1451.0,2.0,0.01616142857142857
cost_comparison,AMRP,10000,300.0,300,204,136,0.6384266666666767,45.333333333333336,34.98529411764706,79.92568433536736,9.75,2262.0,1.0,0.013828947368421052
cost_comparison,AMRP,10001,300.0,300,203,137,0.7166000000000137,45.666666666666664,33.80788177339902,99.70664436001998,10.220833333333333,2374.0,1.0,0.007037162162162163
cost_comparison,AMRP,10002,300.0,300,224,151,0.7026000000000108,50.333333333333336,32.15625,99.72954548822597,9.904166666666667,2299.0,2.0,0.016124516129032256
cost_comparison,BADP,10000,300.0,300,278,278,0.6871466666666699,92.66666666666667,3.302158273381295,72.65131823245451,1.8125,1.0,426.0,0.023695394736842106
cost_comparison,BADP,10001,300.0,300,280,280,0.7794666666666725,93.33333333333333,3.664285714285714,72.57493948985291,2.0458333333333334,1.0,485.0,0.009483108108108108
cost_comparison,BADP,10002,300.0,300,289,289,0.7105866666666706,96.33333333333333,4.411764705882353,60.7212385278576,1.875,3.0,440.0,0.015068387096774194
cost_comparison,BADP_PLUS,10000,300.0,300,278,278,0.6859733333333365,92.66666666666667,3.327338129496403,77.81447012909035,1.8,0.0,427.0,0.043269736842105264
cost_comparison,BADP_PLUS,10001,300.0,300,280,280,0.7780800000000058,93.33333333333333,3.6607142857142856,72.52378287632904,2.0375,0.0,485.0,0.03350337837837838
cost_comparison,BADP_PLUS,10002,300.0,300,289,289,0.7057333333333371,96.33333333333333,4.557093425605537,60.46468228048894,1.8458333333333334,0.0,440.0,0.027974193548387098
cost_comparison,CDASCALER,10000,300.0,300,211,149,0.6536800000000094,49.666666666666664,31.848341232227487,37.004444832639436,9.641666666666667,2227.0,1.0,0.03129868421052631
cost_comparison,CDASCALER,10001,300.0,300,211,155,0.7452000000000127,51.666666666666664,30.436018957345972,16.502648244777127,10.308333333333334,2380.0,1.0,0.02558445945945946
cost_comparison,CDASCALER,10002,300.0,300,214,124,0.6405333333333465,41.333333333333336,34.10747663551402,99.77813037865748,9.279166666666667,2150.0,58.0,0.022153548387096777
cost_comparison,CEDULE,10000,300.0,300,278,278,0.6788800000000029,92.66666666666667,11.377697841726619,58.404686795853976,1.775,0.0,423.0,0.045295394736842104
cost_comparison,CEDULE,10001,300.0,300,280,280,0.7344000000000046,93.33333333333333,12.535714285714286,0.0,1.9125,0.0,459.0,0.026619594594594596
cost_comparison,CEDULE,10002,300.0,300,289,289,0.7149866666666707,96.33333333333333,11.588235294117647,48.39432412247946,1.8666666666666667,0.0,446.0,0.034176129032258064
cost_comparison,CEMA,10000,300.0,300,202,107,0.5761800000000086,35.666666666666664,40.039603960396036,99.73165094907941,8.65,2012.0,59.0,0.014844736842105265
cost_comparison,CEMA,10001,300.0,300,203,105,0.6508666666666792,35.0,38.330049261083744,99.77433737246642,9.0375,2090.0,78.0,0.010385135135135134
cost_comparison,CEMA,10002,300.0,300,211,94,0.6079800000000108,31.333333333333332,44.00473933649289,99.77150928503178,8.7875,2045.0,61.0,0.011347096774193547
cost_comparison,EDF,10000,300.0,300,271,256,0.8218200000000105,85.33333333333333,5.594095940959409,98.01699341207035,5.479166666666667,958.0,272.0,0.25269342105263154
cost_comparison,EDF,10001,300.0,300,276,263,0.921280000000018,87.66666666666667,7.061594202898551,99.75978336827393,6.754166666666666,1246.0,295.0,0.0052581081081081085
cost_comparison,EDF,10002,300.0,300,285,269,0.8975533333333484,89.66666666666667,5.926315789473684,95.87989141031602,6.229166666666667,1104.0,302.0,0.0101
cost_comparison,HPA,10000,300.0,300,215,151,0.6551466666666761,50.333333333333336,32.11162790697674,99.72375272463067,9.583333333333334,2219.0,3.0,0.027146710526315787
cost_comparison,HPA,10001,300.0,300,209,150,0.7349733333333455,50.0,30.784688995215312,93.91613879701777,10.083333333333334,2333.0,1.0,0.006377702702702702
cost_comparison,HPA,10002,300.0,300,216,116,0.6352400000000126,38.666666666666664,37.379629629629626,99.77665881588565,9.183333333333334,2127.0,60.0,0.017119354838709678
credit_regeneration_sensitivity,BADP,10000,0.75,250,230,230,0.5906666666666671,92.0,2.9956521739130433,72.61288969663079,1.5541666666666667,1.0,367.0,0.0016477611940298508
credit_regeneration_sensitivity,BADP,10001,0.75,250,233,233,0.6429066666666686,93.2,4.742489270386266,73.33867093674941,1.6916666666666667,1.0,399.0,0.004371851851851852
credit_regeneration_sensitivity,BADP,10002,0.75,250,243,243,0.6292000000000015,97.2,3.45679012345679,60.63777824296978,1.6583333333333334,3.0,390.0,0.008384782608695652
credit_regeneration_sensitivity,BADP_PLUS,10000,0.75,250,230,230,0.5892800000000004,92.0,2.973913043478261,72.57454850902981,1.5458333333333334,0.0,367.0,0.009379850746268657
credit_regeneration_sensitivity,BADP_PLUS,10001,0.75,250,233,233,0.6415200000000019,93.2,4.746781115879829,73.31353415358508,1.6833333333333333,0.0,399.0,0.012825925925925926
credit_regeneration_sensitivity,BADP_PLUS,10002,0.75,250,243,243,0.6273333333333349,97.2,3.493827160493827,60.49996498844619,1.6416666666666666,0.0,391.0,0.03545797101449275
credit_regeneration_sensitivity,CEDULE,10000,0.75,250,230,230,0.5654933333333331,92.0,12.447826086956521,24.225431094910977,1.475,0.0,353.0,0.004855223880597014
credit_regeneration_sensitivity,CEDULE,10001,0.75,250,233,233,0.643200000000002,93.2,13.017167381974248,0.0,1.675,0.0,402.0,0.0025711111111111113
credit_regeneration_sensitivity,CEDULE,10002,0.75,250,243,243,0.6224000000000014,97.2,10.995884773662551,0.0,1.6208333333333333,0.0,389.0,0.004968840579710145
credit_regeneration_sensitivity,BADP,10000,1.5,250,230,230,0.5906666666666671,92.0,2.9956521739130433,72.49930342713847,1.5541666666666667,1.0,367.0,0.004722388059701493
credit_regeneration_sensitivity,BADP,10001,1.5,250,233,233,0.6429066666666686,93.2,4.742489270386266,73.20875199549255,1.6916666666666667,1.0,399.0,0.004597777777777778
credit_regeneration_sensitivity,BADP,10002,1.5,250,243,243,0.6292000000000015,97.2,3.45679012345679,60.66916562543384,1.6583333333333334,3.0,390.0,0.004447101449275363
credit_regeneration_sensitivity,BADP_PLUS,10000,1.5,250,230,230,0.5892800000000004,92.0,2.973913043478261,72.42246437552389,1.5458333333333334,0.0,367.0,0.023005223880597014
credit_regeneration_sensitivity,BADP_PLUS,10001,1.5,250,233,233,0.6415200000000019,93.2,4.746781115879829,73.15834038950044,1.6833333333333333,0.0,399.0,0.025966666666666666
credit_regeneration_sensitivity,BADP_PLUS,10002,1.5,250,243,243,0.6273333333333349,97.2,3.493827160493827,60.39424017894589,1.6416666666666666,0.0,391.0,0.022228985507246377
credit_regeneration_sensitivity,CEDULE,10000,1.5,250,230,230,0.5654933333333331,92.0,12.447826086956521,24.208461753992715,1.475,0.0,353.0,0.01170223880597015
credit_regeneration_sensitivity,CEDULE,10001,1.5,250,233,233,0.643200000000002,93.2,13.017167381974248,0.0,1.675,0.0,402.0,0.00796962962962963
credit_regeneration_sensitivity,CEDULE,10002,1.5,250,243,243,0.6224000000000014,97.2,10.995884773662551,0.0,1.6208333333333333,0.0,389.0,0.00553695652173913
credit_utilization,BADP,10000,0.8,250,231,231,0.5531733333333327,92.4,2.601731601731602,72.54938501677226,1.4541666666666666,1.0,344.0,0.006764179104477612
credit_utilization,BADP,10001,0.8,250,234,234,0.6018666666666674,93.6,3.893162393162393,72.57493948985291,1.5833333333333333,1.0,374.0,0.006330370370370371
credit_utilization,BADP,10002,0.8,250,244,244,0.5927466666666672,97.6,2.8934426229508197,72.65131823245451,1.5666666666666667,4.0,367.0,0.004153623188405797
credit_utilization,BADP_PLUS,10000,0.8,250,231,231,0.5524799999999993,92.4,2.6147186147186146,72.52378287632904,1.45,0.0,344.0,0.026979104477611943
credit_utilization,BADP_PLUS,10001,0.8,250,234,234,0.6011733333333341,93.6,3.9188034188034186,77.81447012909035,1.5791666666666666,0.0,374.0,0.01994074074074074
credit_utilization,BADP_PLUS,10002,0.8,250,244,244,0.5892800000000004,97.6,2.9262295081967213,72.52378287632904,1.5458333333333334,0.0,367.0,0.05000072463768116
